salt_names,side_effects
 Metoprolol Succinate ,"Dizziness, Nausea, Cold extremities, Decreased blood pressure, Constipation, Taste change, Upset stomach, Increased potassium level in blood, Headache, Diarrhea, Numbness of extremity, Slow heart rate, Weakness"
 Metronidazole ,"itching and redness), Nausea, irritation, Dry skin, Dryness in mouth, Application site reactions (burning, Metallic taste, Headache, Bitter taste"
 Miconazole ,"itching and redness), Thinning of skin, Skin peeling, irritation, Itching, Burning sensation at the site of application, Irritation, Application site reactions (burning"
 Milk Of Magnesia ,"Stomach pain, Constipation, Diarrhea, Allergic reaction"
 Milk of Magnesia ,"Stomach pain, Diarrhea"
 Minoxidil ,"Headache, Application site redness, Rash, Itching"
 Misoprostol ,"Vomiting, Nausea, Stomach cramp, Uterine contractions, Menorrhagia (heavy menstrual bleeding), Diarrhea"
 Mometasone ,"irritation, itching and redness), Application site reactions (burning"
 Montelukast ,"Increased heart rate, Hives, Fatigue, Stomach pain/epigastric pain, Dryness in mouth, Increased white blood cell count, Nasal inflammation, Skin rash, Vomiting, Nausea, Stomach pain, Sleepiness, Drowsiness, Diarrhea, Flu-like symptoms, Itching, Upset stomach, Allergic reaction, Headache, Insomnia (difficulty in sleeping), Irritation, Breathing problems, Rash, Heartburn"
 Moxifloxacin ,"Eye irritation, Eye inflammation, Eye itching, Burning sensation in eye, Watery eyes, Dry eye, Eye discomfort"
 Mumps Virus Vaccine ,"Fever, Rash, Injection site soreness"
 Mupirocin ,"Application site burning, irritation, itching and redness), Application site reactions (burning"
 Nadifloxacin ,"irritation, itching and redness), Application site reactions (burning"
 Naloxone ,"Back pain, Sweating, Vomiting, Nausea, Constipation, Arrhythmia (irregular heartbeats), Lightheadedness, Sleep disturbance, Blurred vision, Dizziness, Sleepiness, Drug withdrawal syndrome, Numbness in mouth, Headache, Fainting, Tongue pain, Difficulty in paying attention"
 Naphazoline ,"Photophobia, Eye irritation, Blurred vision, Stinging in the eyes, Burning eyes, Eye pain"
 Naproxen ,"Nausea, Dizziness, Arrhythmia (irregular heartbeats), Chest discomfort, Muscle stiffness, Dryness in mouth, Drowsiness, Numbness of extremity, Feeling hot, Heartburn, Weakness"
 Neomycin ,"Swelling, Erythema (skin redness), itching and redness), Vomiting, Nausea, Thinning of skin, irritation, Itching, Irritation of ear, Burning sensation at the site of application, Irritation, Application site reactions (burning, Diarrhea"
 Neostigmine ,Allergic reaction
 Nevirapine ,"Peripheral neuropathy (tingling and numbness of feet and hand), Vomiting, Nausea, Tiredness, Insomnia (difficulty in sleeping), Fever, Anemia (low number of red blood cells), Muscle damage, Rash, Dryness in mouth, Decreased white blood cell count (neutrophils), Headache, Diarrhea"
 Niacinamide ,"Erythema (skin redness), Nausea, Sore throat, Skin peeling, Burning sensation at the site of application, Dry skin, Allergic reaction, No common side effects seen, Headache, Diarrhea"
 Nicotinamide ,"Erythema (skin redness), Skin peeling, Burning sensation at the site of application, Dry skin, No common side effects seen"
 Nifedipine ,Anal irritation
 Nimesulide ,"Vomiting, Nausea, Dizziness, Insomnia (difficulty in sleeping), Fatigue, Allergic reaction, Feeling thirsty, Dryness in mouth, Restlessness, Sleepiness, Headache, Diarrhea, Increased liver enzymes"
 Norfloxacin ,"Nausea, Headache, Metallic taste, Dryness in mouth"
 Nortriptyline ,"Increased heart rate, Dizziness, Constipation, Tiredness, Orthostatic hypotension (sudden lowering of blood pressure on standing), Blurred vision, Difficulty in urination, Uncoordinated body movements, Sleepiness, Dryness in mouth, Weight gain"
 Ofloxacin ,"Flatulence, itching and redness), Vomiting, Nausea, Dizziness, Stomach pain, Thinning of skin, irritation, Skin peeling, Itching, Loss of appetite, Ear discomfort, Application site irritation, Rash, Application site reactions (burning, Headache, Diarrhea"
 Olanzapine ,"Tremor, Anorgasmia (decreased orgasm), Vomiting, Nausea, Constipation, Dizziness, Orthostatic hypotension (sudden lowering of blood pressure on standing), Muscle stiffness, Low sexual desire, Dryness in mouth, Sleepiness, Restlessness, Diarrhea, Weight gain, Delayed ejaculation"
 Olopatadine ,"Eye irritation, Dry nose, Burning sensation, Taste change, Eye pain, Eye discomfort, Headache"
 Omeprazole ,"Indigestion, Flatulence, Vomiting, Nausea, Tiredness, Stomach pain, Dizziness, Taste change, Constipation, Flushing of skin, Fatigue, Rash, Dryness in mouth, Metallic taste, Headache, Diarrhea"
 Ornidazole ,"Indigestion, Flatulence, itching and redness), Vomiting, Nausea, Dizziness, Taste change, Thinning of skin, irritation, Skin peeling, Loss of appetite, Stomach pain, Rash, Sleepiness, Application site reactions (burning, Headache, Diarrhea"
 Ornithine ,"Nausea, Constipation, Stomach pain, Bloating, Diarrhea"
 Oxetacaine ,"Vomiting, Nausea, Constipation, Dizziness, Insomnia (difficulty in sleeping), Chalky taste, Allergic reaction, Diarrhea"
 Oxychloro Complex ,"Eye discharge, Itching"
 Pamabrom ,"Nausea, Nervousness, Blurred vision, Dark colored urine, Dryness in mouth, Sleepiness, Weakness"
 Pancreatin ,"Nausea, Constipation, Stomach pain, Bloating, Diarrhea"
 Pantoprazole ,"Flatulence, Vomiting, Nausea, Dizziness, Stomach pain, Taste change, Constipation, Rash, Dryness in mouth, Sleepiness, Headache, Diarrhea"
 Pantothenic Acid ,No common side effects seen
 Paracetamol ,"Indigestion, Increased heart rate, Fatigue, Flushing of skin, Loss of appetite, Stomach pain/epigastric pain, Dryness in mouth, Increased liver enzymes, Vomiting, Nausea, Constipation, Stomach pain, Tiredness, Impaired coordination, Sleepiness, Drowsiness, Diarrhea, Thickened respiratory tract secretions, Dizziness, Upset stomach, Allergic reaction, Restlessness, Headache, Slow heart rate, Nervousness, Insomnia (difficulty in sleeping), Blurred vision, Feeling thirsty, Heartburn, Weakness"
 Paradichlorobenzene ,No common side effects seen
 Pertussis Toxoid ,"Injection site redness, Swelling, Vomiting, Fever, Loss of appetite, Unusual crying, Pain, Gastrointesinal symptoms, Irritation, Injection site reaction, Drowsiness, Headache, Tenderness, Weakness"
 Phenazone ,"Increased heart rate, Restlessness"
 Phenoxyethanol ,Limited data available
 Phenylephrine ,"Indigestion, Increased heart rate, Hives, Fatigue, Loss of appetite, Stomach pain/epigastric pain, Skin rash, Eye discomfort, Dryness in mouth, Increased liver enzymes, Sweating, Vomiting, Nausea, Tiredness, Stomach pain, Stinging in the eyes, Impaired coordination, Sleepiness, Drowsiness, Diarrhea, Thickened respiratory tract secretions, Dizziness, Itching, Upset stomach, Bloating, Allergic reaction, Eye pain, Restlessness, Headache, Photophobia, Eye irritation, Insomnia (difficulty in sleeping), Burning sensation in eye, Blurred vision, Rash, Weakness"
 Phenylpropanolamine ,"Nausea, Insomnia (difficulty in sleeping), Palpitations, Upset stomach, High blood pressure, Sleepiness"
 Piperaquine ,"Indigestion, Vomiting, Nausea, Abdominal pain, Dizziness, Loss of appetite, Headache, Cough"
 Piracetam ,"ears, Hyperactivity, Nervousness, Stomach pain, Decreased blood pressure, Upset stomach, Rash, neck and trunk), Abnormality of voluntary movements, Flushing (sense of warmth in the face, Diarrhea, Weight gain"
 Polymyxin B ,"Eye irritation, itching and redness), Burning sensation in eye, irritation, Eye discomfort, Application site reactions (burning"
 Potassium Chloride ,"Flatulence, Increased production of urine, Stomach cramp, Increased potassium level in blood, No common side effects seen, Diarrhea"
 Potassium Citrate ,"Nausea, Diarrhea, Stomach pain, Vomiting"
 Prednisolone ,"Eye irritation, Limited data available, Ear discomfort, Itching, Watery eyes, Pain, Corneal inflammation, Eye redness"
 Pregabalin ,"Vomiting, Nausea, Dizziness, Tiredness, Uncoordinated body movements, Sleepiness, Drowsiness, Diarrhea, Increased liver enzymes"
 Procaine ,"Flatulence, Increased production of urine, Stomach cramp, Increased potassium level in blood, Injection site reaction, Diarrhea"
 Promethazine ,"Allergic reaction, Sleepiness"
 Propranolol ,"Nightmare, Tiredness, Memory impairment, Cold extremities, Uncoordinated body movements, Drowsiness, Confusion, Slow heart rate"
 Propylene Glycol ,"Blurred vision, Irritation, Stinging sensation, Itching"
 Pyrazinamide ,"Increased sputum production, Sweating, Vomiting, Nausea, Peripheral neuropathy (tingling and numbness of feet and hand), Jaundice, Fever, Visual impairment, Increased uric acid level in blood, Watery eyes, Dark colored urine, Rash, Increased liver enzymes, Gout, Salivation"
 Pyrimethamine ,"Feeling of fullness, Mouth sore, Vomiting, Nausea, Fatigue, Dizziness, Upset stomach, ECG changes, Skin rash, Headache, Diarrhea"
 Rabeprazole ,"Indigestion, Flu-like symptoms, Flatulence, Headache, Nausea, Constipation, Stomach pain, Dizziness, Blurred vision, Difficulty in urination, Impaired coordination, Dryness in mouth, Sleepiness, Drowsiness, Confusion, Diarrhea, Weakness"
 Ramipril ,"Indigestion, Back pain, Nausea, Dizziness, Taste change, Stomach pain, Decreased blood pressure, Cough, Increased potassium level in blood, Sinus inflammation, Headache, Diarrhea, Weakness"
 Ranitidine ,"Headache, Muscle pain, Nausea, Constipation, Stomach pain, Fatigue, Flushing of skin, Blurred vision, Difficulty in urination, Impaired coordination, Dryness in mouth, Drowsiness, Confusion, Diarrhea, Weakness"
 Recombinant ,"Injection site redness, Joint pain, Injection site pain, Muscle pain, Dizziness, Nausea, Tiredness, Fever, Injection site reactions (pain, swelling, Upset stomach, Headache, redness)"
 Resveratrol ,"Nausea, Vomiting"
 Rifampicin ,"Increased sputum production, Sweating, Vomiting, Nausea, Peripheral neuropathy (tingling and numbness of feet and hand), Jaundice, Fever, Visual impairment, Increased uric acid level in blood, Watery eyes, Dark colored urine, Rash, Increased liver enzymes, Gout, Salivation"
 Rosuvastatin ,"Indigestion, Bruise, Muscle pain, Abdominal pain, Nausea, Increased bleeding tendency, Gastrointestinal bleeding, Nosebleeds, Headache, Diarrhea, Weakness"
 Rubella vaccine ,"Fever, Rash, Injection site soreness"
 Rutin ,Limited data available
 Rutoside ,"Indigestion, Vomiting, Nausea, Stomach pain, Loss of appetite, No common side effects seen, Diarrhea, Heartburn"
 Saccharomyces boulardii ,"Headache, Rash, Itching"
 Salbutamol ,"Increased heart rate, Tremor, Hives, Vomiting, Nausea, Dizziness, Stomach pain, Palpitations, Upset stomach, Allergic reaction, Rash, Headache, Diarrhea, Muscle cramp"
 Salicylic Acid ,"itching and redness), Thinning of skin, Application site irritation, irritation, Skin peeling, Ear discomfort, Dry skin, Irritation, Application site reactions (burning"
 Secnidazole ,"Indigestion, Vomiting, Dizziness, Nausea, Taste change, Stomach pain, Loss of appetite, Headache, Diarrhea, Vaginal itching, Vaginal infection"
 Selenium ,"No common side effects seen, irritation, itching and redness), Application site reactions (burning"
 Serratiopeptidase ,"Indigestion, Vomiting, Nausea, Stomach pain, Loss of appetite, Diarrhea, Heartburn"
 Sertraline ,"Anorgasmia (decreased orgasm), Vomiting, Nausea, Memory impairment, Tiredness, Low sexual desire, Uncoordinated body movements, Delayed ejaculation, Drowsiness, Confusion, Diarrhea"
 Sildenafil ,"Indigestion, Pain in extremity, ears, Breast pain, Flushing (sense of warmth in the face, Nausea, Stomach pain, neck and trunk), Nosebleeds, Headache, Diarrhea"
 Simethicone ,"Flatulence, Fatigue, Loss of appetite, Stomach pain/epigastric pain, Dryness in mouth, Vomiting, Nausea, Constipation, Sleepiness, Diarrhea, Dizziness, Chalky taste, Allergic reaction, Cramps, No common side effects seen, Headache, Nervousness, Taste change, Blurred vision, Weakness"
 Sodium Chloride ,"Photophobia, Eye irritation, Burning sensation in eye, Blurred vision, Stinging in the eyes, Burning eyes, No common side effects seen, Eye discomfort, Fluid overload"
 Sodium Citrate ,"Vomiting, Nausea, Dizziness, Impaired coordination, Stomach pain/epigastric pain, Allergic reaction, Sleepiness, Headache, Thickened respiratory tract secretions"
 Sodium Diatrizoate ,"ears, Vomiting, Nausea, neck and trunk), Flushing (sense of warmth in the face"
 Sodium Hyaluronate ,No common side effects seen
 Sodium Lactate ,No common side effects seen
 Sodium Tauroglycocholate ,"Nausea, Constipation, Stomach pain, Bloating, Diarrhea"
 Sorbitol ,"Constipation, Blurred vision, Dryness in mouth, Sleepiness, Drowsiness, Diarrhea"
 Stabilized Oxychloro ,"Photophobia, Eye irritation, Tiredness, Stinging sensation, Burning sensation in eye, Itching, Blurred vision, Stinging in the eyes, Foreign body sensation, Eye pain, Dryness in mouth, Drowsiness, Headache, Eye redness"
 Stavudine ,"Peripheral neuropathy (tingling and numbness of feet and hand), Tiredness, Nausea, Insomnia (difficulty in sleeping), Fever, Rash, Dryness in mouth, Headache, Diarrhea"
 Sucralfate ,"Constipation, Allergic reaction, Dryness in mouth"
 Sulbactam ,"Vomiting, Nausea, Anemia (low number of red blood cells), Abnormal liver function tests, Allergic reaction, Rash, Headache, Diarrhea, Increased liver enzymes"
 Sulphacetamide ,"Photophobia, Eye irritation, Burning sensation in eye, Blurred vision, Burning eyes, Stinging in the eyes, Eye discomfort"
 Sulphadoxine ,"Feeling of fullness, Mouth sore, Vomiting, Nausea, Fatigue, Dizziness, Upset stomach, ECG changes, Skin rash, Headache, Diarrhea"
 Tannic Acid ,"Stinging sensation, No common side effects seen, Burning sensation"
 Tazobactum ,"Vomiting, Nausea, Allergic reaction, Rash, Diarrhea"
 Telmisartan ,"Indigestion, ears, Nausea, Tiredness, Stomach pain, Glucose intolerance, Palpitations, Sleepiness, neck and trunk), Flushing (sense of warmth in the face, Numbness of extremity, Ankle swelling, Diarrhea, Cough, Dizziness, Cold extremities, Upset stomach, Increased potassium level in blood, Increased blood uric acid, Headache, Slow heart rate, Taste change, Decreased blood pressure, Increased blood lipid level, Weakness"
 Teneligliptin ,"Vomiting, Nausea, Sore throat, Respiratory tract infection, Upset stomach, Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea, Nasal congestion (stuffy nose), Headache, Diarrhea"
 Tenofovir disoproxil fumarate ,"Nightmare, Flatulence, Nausea, Depression, Dizziness, Insomnia (difficulty in sleeping), Fatigue, Impaired concentration, Cough, Pain, Rash, Abnormal dreams, Nasal congestion (stuffy nose), Drowsiness, Headache, Diarrhea, Weakness"
 Terbutaline ,"Increased heart rate, Indigestion, Tremor, Hives, Skin rash, Sweating, Vomiting, Nausea, Stomach pain, Palpitations, Stomach discomfort, Diarrhea, Dizziness, Upset stomach, Bloating, Allergic reaction, Restlessness, Headache, Muscle cramp, Rash"
 Terpin Hydrate ,"Vomiting, Nausea, Dizziness, Stomach pain, Upset stomach, Impaired coordination, Stomach pain/epigastric pain, Allergic reaction, Rash, Sleepiness, Confusion, Thickened respiratory tract secretions"
 Tetanus Toxoid ,"Injection site redness, Swelling, Vomiting, Fever, Loss of appetite, Unusual crying, Pain, Gastrointesinal symptoms, Irritation, Injection site reaction, Drowsiness, Headache, Tenderness, Weakness"
 Tetrahydrozoline ,"Stinging in the eyes, Fluid overload, Burning eyes"
 Theophylline ,"Increased heart rate, Tremor, Vomiting, Nausea, Palpitations, Stomach discomfort, Allergic reaction, Restlessness, Headache, Muscle cramp"
 Thiamine,"Vomiting, Nausea, Sore throat, Photosensitivity, Stomach pain, Allergic reaction, No common side effects seen, Headache, Diarrhea"
 Thiocolchicoside ,"Indigestion, Flu-like symptoms, Feet swelling, Flatulence, Vomiting, Nausea, Stomach pain, Loss of appetite, Stomach pain/epigastric pain, Swelling of hands, Diarrhea, Heartburn"
 Thiomersal ,"Fever, Tenderness, Injection site pain"
 Thrombin ,Fever
 Thyroxine ,"Tremor, Vomiting, Nervousness, Anxiety, Palpitations, Weight loss, Diarrhea"
 Timolol ,"Change in color of iris, Darkening of eyelashes, Burning sensation, Stinging sensation, Burning sensation in eye, Itching, Blurred vision, Irritation, Eye pain, Foreign body sensation, Eye redness"
 Tinidazole ,"Indigestion, Flatulence, Fatigue, Loss of appetite, Stomach pain/epigastric pain, Dryness in mouth, Skin rash, Vomiting, Nausea, Constipation, Stomach pain, Tiredness, Diarrhea, Dizziness, Itching, Cramps, Headache, Irritation, Rash, Vaginal burning sensation, Metallic taste"
 Tizanidine ,"Vomiting, Nausea, Loss of appetite, Stomach pain/epigastric pain, Dryness in mouth, Sleepiness, Diarrhea, Heartburn"
 Tobramycin ,"Eye irritation, Eye discomfort, Burning sensation"
 Tocoferol ,"Nausea, Headache, Bloating"
 Tolnaftate ,"Thinning of skin, irritation, itching and redness), Application site reactions (burning"
 Tramadol ,"Vomiting, Nausea, Constipation, Nervousness, Dizziness, Blurred vision, Dryness in mouth, Sleepiness, Weakness"
 Tranexamic Acid ,"Indigestion, Vomiting, Nausea, Tiredness, Stomach pain, Sinus pain, Anemia (low number of red blood cells), Loss of appetite, muscle or joint) pain, Sinus inflammation, Nasal congestion (stuffy nose), Musculoskeletal (bone, Headache, Diarrhea, Heartburn"
 Travoprost ,"Change in color of iris, Darkening of eyelashes, Stinging sensation, Burning sensation in eye, Itching, Irritation, Eye pain, Foreign body sensation"
 Tretinoin ,"Dryness, Application site redness, Dermatitis, itching and redness), Skin peeling, irritation, Itching, Rash, Application site reactions (burning, Headache"
 Tribasic Calcium Phosphate ,"Sinus pain, Tiredness, muscle or joint) pain, Stomach pain, Anemia (low number of red blood cells), Nasal congestion (stuffy nose), Musculoskeletal (bone, Headache, Sinus inflammation"
 Tricholine Citrate ,"Constipation, Blurred vision, Dryness in mouth, Sleepiness, Drowsiness"
 Trifluoperazine ,"Tremor, Urinary retention, Memory impairment, Orthostatic hypotension (sudden lowering of blood pressure on standing), Difficulty in urination, Muscle stiffness, Dryness in mouth, Increased prolactin level in blood, Nausea, Constipation, Tiredness, Sleepiness, Confusion, Weight gain, Dizziness, Uncoordinated body movements, Nervousness, Blurred vision, Sedation"
 Trihexyphenidyl ,"Increased prolactin level in blood, Nausea, Constipation, Nervousness, Orthostatic hypotension (sudden lowering of blood pressure on standing), Urinary retention, Dizziness, Blurred vision, Dryness in mouth, Sleepiness, Weight gain, Sedation"
 Trimethoprim ,"Nausea, Allergic reaction, Skin rash, Vomiting"
 Triprolidine ,"Sweating, Vomiting, Nausea, Constipation, Dizziness, Lightheadedness, Sleepiness, Headache, Breathlessness"
 Tropicamide ,"Photophobia, Blurred vision, Stinging in the eyes, Allergic reaction, Eye pain"
 Trypsin ,No common side effects seen
 Trypsin Chymotrypsin ,"Indigestion, Vomiting, Nausea, Stomach pain, Loss of appetite, No common side effects seen, Diarrhea"
 Turpentine Oil ,No common side effects seen
 Uracil ,"Mouth sore, white cells, Vomiting, Nausea, Tiredness, Stomach pain, Decreased blood cells (red cells, Sore tongue, Loss of appetite, and platelets), Diarrhea"
 Urea ,"irritation, itching and redness), Application site reactions (burning"
 Ursodeoxycholic Acid ,"Diarrhea, Sticky stools"
 Velpatasvir ,"Tiredness, Headache"
 Vinpocetine ,"ears, Nervousness, Upset stomach, Rash, neck and trunk), Abnormality of voluntary movements, Flushing (sense of warmth in the face, Weight gain"
 Vitamin C ,No common side effects seen
 Vitamin D ,Limited data available
 Vitamin E ,No common side effects seen
 Vitamin K ,"Indigestion, Vomiting, Nausea, Tiredness, Stomach pain, Sinus pain, Anemia (low number of red blood cells), Loss of appetite, muscle or joint) pain, Sinus inflammation, Nasal congestion (stuffy nose), Musculoskeletal (bone, Headache, Diarrhea, Heartburn"
 Voglibose ,"Flatulence, Headache, Nausea, Taste change, Stomach pain, Respiratory tract infection, Skin rash, Hypoglycemia (low blood glucose level), Diarrhea"
 Zidovudine ,"Vomiting, Nausea, Tiredness, Insomnia (difficulty in sleeping), Fatigue, Anemia (low number of red blood cells), Muscle damage, Feeling of discomfort, Rash, Nasal congestion (stuffy nose), Decreased white blood cell count (neutrophils), Headache, Diarrhea, Cough"
 Zinc ,"Indigestion, Diarrhea, Back pain, muscle or joint) pain, Headache, Musculoskeletal (bone, Heartburn"
 Zinc Chloride ,"Stinging sensation, Burning sensation"
 Zinc Sulfate ,"Eye irritation, itching and redness), Burning sensation in eye, irritation, Eye discomfort, Application site reactions (burning"
 Zinc Sulphate Monohydrate ,"Eye irritation, Burning sensation in eye, Stinging in the eyes, Burning eyes, Eye discomfort"
 Zolpidem ,"Nausea, Dizziness, Drowsiness, Headache, Diarrhea"
 attenuated ,"redness), Injection site reactions (pain, swelling, Fever"
 selenious acid ,No common side effects seen
 valent Conjugate Vaccine ,"Tiredness, Injection site reactions (pain, swelling, Fever, Irritation, Rash, Sleepiness, redness), Decreased appetite"
A ,"Flu-like symptoms, Joint pain, Decreased calcium level in blood, Sweating, Decreased white blood cell count, Fatigue, Muscle pain, Hair loss, Fever, Nausea, Vomiting, Rigors, Chills, Headache, Diarrhea, Decreased appetite"
Abiraterone Acetate ,"Increased levels of blood fat, Altered blood sugar level, Decreased white blood cell count, Fatigue, Vomiting, Anemia (low number of red blood cells), Hypercholesterolemia (high cholesterol), Joint swelling, Decreased potassium level in blood, High blood pressure, Edema (swelling), Diarrhea, Urinary tract infection, Increased liver enzymes, Cough"
Acamprosate ,"Flatulence, Vomiting, Abdominal pain, Nausea, Itching, Decreased libido, Diarrhea, Impotence"
Acebrophylline ,"Flu-like symptoms, Hives, Vomiting, Nausea, Stomach pain, Itching, Upset stomach, Breathing problems, Rash, Restlessness, Nasal inflammation, Increased white blood cell count, Drowsiness, Headache, Heartburn"
Aceclofenac ,"Indigestion, Flu-like symptoms, Flatulence, Vomiting, Nausea, Constipation, Stomach pain, Tiredness, Loss of appetite, Stomach pain/epigastric pain, Dryness in mouth, Sleepiness, Diarrhea, Heartburn"
Acetaminophen  ,"Vomiting, Nausea, Constipation, Dizziness, Dryness in mouth, Sleepiness, Weakness"
Acetazolamide ,"ears, Feeling sick, Dizziness, Tiredness, Taste change, Numbness of extremity, Loss of appetite, Tingling sensation of extremity, neck and trunk), Flushing (sense of warmth in the face, Headache, Diarrhea, Frequent urge to urinate, Excitement"
Acetylcysteine ,"Ovarian hyperstimulation syndrome, Vomiting, Nausea, Fever, Blurred vision, Upset stomach, Hot flashes, Rash, No common side effects seen, Gastrointestinal discomfort, Ovarian cysts"
Acipimox ,"Indigestion, ears, Hives, Stomach pain, neck and trunk), Flushing (sense of warmth in the face, Headache, Weakness"
Acitretin ,"Dry lips, Increased levels of blood fat, Joint pain, Skin peeling, Change in finger nails, Hair loss, Itching, Runny nose, Muscle tightness, Dryness in mouth, Nosebleeds, Cracked lips"
Acyclovir ,"Photophobia, itching and redness), Vomiting, Dizziness, Nausea, Fatigue, Fever, Stomach pain, irritation, Skin rash, Application site reactions (burning, Headache, Diarrhea"
Adalimumab ,"Upper respiratory tract infection, Rash, Injection site reaction, Headache, Sinus inflammation"
Adapalene ,"Erythema (skin redness), Skin burn, Skin peeling, Itching, Burning sensation at the site of application, Dry skin, Skin irritation"
Adapting Electrolyte Solutions ,"redness), Injection site reactions (pain, swelling, No common side effects seen"
Ademetionine ,"Nausea, Constipation, Dizziness, Upset stomach, Diarrhea"
Adrenochrome Monosemicarbazone ,"redness), Injection site reactions (pain, Limited data available, swelling"
Albendazole ,"Vomiting, Dizziness, Nausea, Loss of appetite, Increased liver enzymes"
Albumin ,"ears, Hives, Vomiting, Nausea, Fever, neck and trunk), Chills, Flushing (sense of warmth in the face, Slow heart rate"
Alendronic Acid ,"Diarrhea, Indigestion, Back pain, muscle or joint) pain, Headache, Musculoskeletal (bone, Heartburn"
Alfacalcidol ,"Increased calcium level in blood, Abdominal pain, Itching, Increased calcium in urine, Rash, Increased phosphate level in blood"
Alfuzosin ,"Breast pain, Dizziness, Tiredness, Upper respiratory tract infection, Ejaculation disorder, Decreased libido, Headache, Impotence"
Allantoin ,"Dry skin, Skin peeling, Erythema (skin redness), Burning sensation at the site of application"
Allium Cepa ,No common side effects seen
Allopurinol ,"Nausea, Diarrhea, Skin rash"
Allylestrenol ,"Gastrointestinal disturbance, Irregular menstrual cycle, Excessive hair growth on face, Fatigue, Depression, Bloating, Altered libido, Edema (swelling), Headache"
Almotriptan ,"Vomiting, Dizziness, Nausea, Dryness in mouth, Sleepiness, Paresthesia (tingling or pricking sensation), Headache"
Alpha Ketoanalogue ,No common side effects seen
Alpha glycerylphosphorylcholine ,"Nervousness, Weight gain, No common side effects seen, Abnormality of voluntary movements"
Alprazolam ,"Nightmare, Anorgasmia (decreased orgasm), Vomiting, Tiredness, Depression, Memory impairment, Lightheadedness, Cold extremities, Nausea, Low sexual desire, Uncoordinated body movements, Delayed ejaculation, Drowsiness, Confusion, Diarrhea, Slow heart rate"
Alprostadil ,"Ecchymosis (discoloration of the skin resulting from bleeding underneath), Muscle spasm, Injection site hematoma, Frequent and excessive erections of penis, Peyronie disease, Penile disorder, Penile pain, Hematoma"
Aluminium Hydroxide ,"Constipation, Diarrhea, Allergic reaction"
Amantadine ,"Nausea, Constipation, Dizziness, Insomnia (difficulty in sleeping), Hallucination, Blurred vision, Peripheral edema, Orthostatic hypotension (sudden lowering of blood pressure on standing), Dryness in mouth, Balance disorder (loss of balance)"
Ambroxol ,"Increased heart rate, Tremor, Hives, Fatigue, Photosensitivity, Loss of appetite, Dryness in mouth, Vomiting, Nausea, Stomach pain, Palpitations, Stomach discomfort, Sleepiness, Diarrhea, Flu-like symptoms, Dizziness, Upset stomach, Allergic reaction, Restlessness, Headache, Muscle cramp, Insomnia (difficulty in sleeping), Rash"
Amifostine ,"ears, Vomiting, Nausea, Dizziness, Decreased blood pressure, Fever, Sleepiness, neck and trunk), Chills, Flushing (sense of warmth in the face, Hiccup"
Amikacin ,"Injection site pain, Vomiting, Nausea, Vertigo, Ringing in ear, Hearing loss, Injection site inflammation, Injection site reactions (pain, swelling, Increased blood urea, Allergic reaction, Rash, Injection site reaction, redness), Abnormal kidney function test"
Amino Acids ,"Folic acid deficiency, ears, Liver damage, Increased sweating, Vomiting, Fever, Injection site reactions (pain, swelling, Metabolic disorder, Chills, neck and trunk), Flushing (sense of warmth in the face, redness)"
Amisulpride ,"Increased prolactin level in blood, Akathisia (inability to stay still), Vomiting, Nausea, Constipation, Decreased blood pressure, Dystonia (involuntary muscle contractions), Dryness in mouth, Parkinsonism, Weight gain"
Amitriptyline ,"Increased heart rate, Tremor, Memory impairment, Orthostatic hypotension (sudden lowering of blood pressure on standing), Difficulty in urination, Dryness in mouth, Sweating, Tiredness, Constipation, Depression, Nausea, Palpitations, Sleepiness, Aggressive behavior, Confusion, Weight gain, Dizziness, Uncoordinated body movements, Headache, Blurred vision, Accomodation disorder, Speech disorder, Nasal congestion (stuffy nose)"
Amlexanox ,"Application site pain, Stinging sensation, Burning sensation"
Ammonium Chloride ,"Hives, Vomiting, Nausea, Dizziness, Stomach pain, Upset stomach, Allergic reaction, Rash, Sleepiness, Headache, Diarrhea"
Amorolfine ,"Limited data available, Erythema (skin redness), Blisters on skin, Nail disorder, Skin irritation, Skin rash"
Amoxycillin ,"Flatulence, Vomiting, Nausea, Stomach pain, Taste change, Allergic reaction, Rash, Headache, Diarrhea"
Amoxycillin  ,"Nausea, Diarrhea, Vomiting"
Ampicillin ,"Vomiting, Nausea, Stomach pain, Allergic reaction, Rash, Diarrhea"
Amylmetacresol ,"Sore tongue, Upset stomach"
Anastrozole ,"Nausea, Hot flashes, Skin rash, Osteoporosis, Weakness"
Anti Rh D Immunoglobulin ,"Injection site tenderness, Injection site pain, Fever, Feeling of discomfort, Headache"
Apixaban ,Bleeding
Apremilast ,"Nausea, Diarrhea, Vomiting"
Aprepitant ,"Indigestion, Tiredness, Constipation, Hiccup, Loss of appetite, Headache, Increased liver enzymes"
Aprotinin ,"redness), Injection site reactions (pain, swelling, Fever"
Arginine ,"Abdominal pain, Nausea, Decreased blood pressure, Bloating, No common side effects seen, Gout, Diarrhea, Aggravation of asthma, Airway inflammation"
Aripiprazole ,"Indigestion, Tremor, Increased saliva production, Vomiting, Dizziness, Anxiety, Constipation, Fatigue, Insomnia (difficulty in sleeping), Blurred vision, Nausea, Restlessness, Sleepiness, Parkinsonism, Headache, Akathisia (inability to stay still)"
